comment_id,parent_comment_id,author,text,published_at,likes,reply_count
UgyhUFkU0kWSOZqEXn14AaABAg,,@halimatulsyadiah7065,"Asalkan masuk akal Dana Bos-nya,  karena kebanyakan berawal dari kurangnya dana, operasional juga kurang, ujung-ujungnya gaji guru honorer dikurangi, dengan gaji kurang layak, guru jadi kurang totalitas ngajarnya (gak fokus, kebutuhan tidak tercukupi). Akibatnya kualitas siswa jadi korban...",2025-05-27T22:15:13Z,0,0
UgypeinNmZaUtAlQmdV4AaABAg,,@jaywijaya1,Semoga ga kurangin mutu,2025-05-27T21:58:49Z,0,0
UgxrTKTzuoLYPEWe0GV4AaABAg,,@jamitea8152,"Bukannya memang udah gratis utk SD SMP negeri. Cuma utk swasta, emang bs digratiskan? 😂",2025-05-27T21:41:07Z,0,0
UgzD5DjD0U8n-X7VI7Z4AaABAg,,@setiabudi-cf4bz,Pingin percaya tapi sering di PHP.,2025-05-27T21:08:02Z,0,0
Ugx_VdccUp20VrPI83N4AaABAg,,@wardiputra7200,"BGaimana dgn seragam dan sepatu serta buku tulis dan uang saku, ??? Gratis juga kah???. Uang saku itu uang harian dan ini yg berat serta akomodasi/tranpotasi.",2025-05-27T21:04:21Z,0,0
Ugx83PO_oHmytEZ5Eg94AaABAg,,@komodo60,"Swasta Gratis

Gaji guru staff dll juga Gratiss",2025-05-27T20:59:17Z,0,0
UgzNqmlIOvEAp6S1zv54AaABAg,,@mahesamarcuet,amiin..semoga terlaksana,2025-05-27T19:10:49Z,0,0
Ugw79hWT41xBn-m3xdt4AaABAg,,@okeyindyindarto7644,"Fajtanya tetap bayar uang Gedung, SPP, Uang seragam. Pemerintah harus tegas fan segera menindaklanjuti laporan masyarakat, jika perlu taruh Polisi atau jaksa oada setiap sekolah Favorit saat pendaftaran Siswa baru",2025-05-27T19:04:07Z,0,0
UgzYpiOjZTRVrcKimoh4AaABAg,,@banyu_laut,"80 tahun merdeka, masih berkutat di omong kosong soal pendidikan gratis, padahal anggaran pendidikan kalean paling rendah di rezim ini. Malu sama malay dan Singapur, kalo gak bisa ngasih gratis minimal murah dan menjangkau semua lapisan sampai bawah. Ketinggian sama policynya mereka, yaa minimal malu sama Timor Leste udah diatas kita soal policy pendidikan, termasuk guru, pendidik, dan para pengajar mereka 😂😂",2025-05-27T18:52:20Z,0,0
UgwGbTESgtB2Y_RPrAl4AaABAg,,@e-motions7241,Trus yang bayar gaji guru sekolah swasta siapa?😂 Fasilitas sekolah swasta (misal international school) yg mewah itu dibeli pakai duit siapa? 😂 Keputusan yang ga logis,2025-05-27T18:49:20Z,0,0
UgxF_M8zxGoi3jFmDTx4AaABAg,,@dulordewedd7571,Masak???,2025-05-27T18:29:37Z,0,0
UgyGsfTyvPkT-XU07Ud4AaABAg,,@dorasi2505,"Dari mana anggarannya??? Gaji, cleaning service, thr drmna uangnya??? Ketok palu mah ketok palu...",2025-05-27T18:20:23Z,0,0
UgyU2srPE_1rq5szZgN4AaABAg,,@MbahUti-h9l,"Kita lihat apakah pihak sekolah mau mentaati keputusan MK ini,nyatanya  ada sekolahan minta uang,infaq,kas walaupun nilainya kecil,tapi murid banyak jadi..?!",2025-05-27T18:15:37Z,0,0
Ugw2_ptNZPvRMj64-8J4AaABAg,,@CembungCekung-um6pc,"mendingan langsung saja kasih undang2 melarang swasta dilarang beroprasi di bidang pendidikan itu lebih jelas. daripada membuat aturan mengratiskan sekolah swasta dimana itu mustahil, yang ujung2nya lembaga/yayasan pendidikan swasta itu pasti bakal tutup kok klo begitu caranya.",2025-05-27T18:09:40Z,0,0
UgyAYXfaUyd0Bf6CE2J4AaABAg,,@sutrisnocahangon7688,Kalau SD & SMP Negri gratis noproblem. .tapi bagi Swasta dituntut gratis pasti pd tutup.,2025-05-27T18:02:02Z,0,0
Ugy6TqCMqjXkbFXedk54AaABAg,,@dediirawans2213,mtsn di sungkai utara lampung utara lampung tetap menganakan biaya masuk dan ada indikasi pungli,2025-05-27T17:59:48Z,0,0
